"name","source","source_trust","source_trust_reason","nearest_town","region","missing_coords","missing_length_km","missing_elevation_gain_m"
"Дивите кактуси на Синеморец","Местообитанията са част от Природен парк Странджа.","trusted","official_or_tourism_portal","Синеморец","Бургаска област","False","True","True"
"Екопътека ""Ерантис"" – Киреево","https://opoznai.bg/","trusted","official_or_tourism_portal","Киреево","","False","True","True"
"Екопътека ""Етър-Соколски манастир""","https://opoznai.bg/","trusted","official_or_tourism_portal","Етър","","False","True","True"
"Екопътека ""Збегове"" – Белоградчик","https://opoznai.bg/","trusted","official_or_tourism_portal","Белоградчик","","False","True","True"
"Екопътека до ""Първия войнишки паметник"" - с. Алдомировци","https://opoznai.bg/","trusted","official_or_tourism_portal","Алдомировци","Алдомировци","False","True","True"
"Екопътека до Преображенския манастир","https://opoznai.bg/","trusted","official_or_tourism_portal","Велико Търново","Велико Търново","False","True","True"
"Екопътека Заслон ""Опасен зъб"" – Тетевен","https://opoznai.bg/","trusted","official_or_tourism_portal","Тетевен","","False","True","True"
"Боров камък - Враца","OpenStreetMap (Overpass API)","review","local_or_unclassified_source","","България","False","False","True"
"Водопад ""Лястовичи вир""","Локални туристически водачи","review","local_or_unclassified_source","Долнослав","Асеновград","False","False","True"
"Екопътека ""Властелинът на планините""","Белица туристически център","review","local_or_unclassified_source","Белица","Благоевград","False","False","True"
"Екопътека ""Влахи""","Влахи туристически център","review","local_or_unclassified_source","Влахи","Благоевград","False","False","True"
"Екопътека ""Кръстът"" – Благоевград","Ekopteka-Krstt.pdf","review","local_or_unclassified_source","Благоевград","Благоевград","False","False","True"
"Екопътека ""Пещера и изворите на р. Младежка""","Ekopteka-Peshchera-i-izvorite-na-r.Mladezhka.pdf","review","local_or_unclassified_source","Младежко","Бургас","False","False","True"
"Екопътека ""По следите на миналото"" – Приморско","Ekopteka-Po-sledite-na-minaloto-Primorsko.pdf","review","local_or_unclassified_source","Приморско","Бургас","False","False","True"
"Екопътека ""По следите на римляните"" – Приморско","Ekopteka-Po-sledite-na-rimlianite.pdf","review","local_or_unclassified_source","Приморско","Бургас","False","False","True"
"Екопътека ""Пътят на ясния месец""","Ekopteka-Ptiat-na-iasniia-mesets-Brshlian.pdf","review","local_or_unclassified_source","Бръшлян","Бургас","False","False","True"
"Екопътека ""Римски мост""","Ekopteka-Rimski-most-Brshchen.pdf","review","local_or_unclassified_source","Бръщен","Благоевград","False","False","True"
"Екопътека ""Хотнишки водопад""","Ekopteka-Khotnishki-vodopad.pdf","review","local_or_unclassified_source","Хотница","Велико Търново","False","False","True"
"Негованска екопътека – Емен","Negovanska-ekoptek-Emen.pdf","review","local_or_unclassified_source","Емен","Велико Търново","False","False","True"
"Триградско ждрело - Смолян","OpenStreetMap (Overpass API)","review","local_or_unclassified_source","","България","False","False","True"
"Хотнишка екопътека","Khotnishka-ekopteka.pdf, Khotnishkata-ekopteka-2.pdf","review","local_or_unclassified_source","Хотница","Велико Търново","False","False","True"
"Red Dot Trail - Витоша","OpenStreetMap (Overpass API)","review","local_or_unclassified_source","","България","False","False","True"
"Еко стадион Пишмана","кв. Бузлуджа, Велико Търново","review","local_or_unclassified_source","Велико Търново","Велико Търновска област","False","True","True"
"Екопътека ""Белица - Кръстова гора""","","unknown","empty_source","Белица","Благоевград","False","True","True"
"Екопътека ""Мелник - Роженски манастир""","Ekopteka-Melnik-Rozhenski-manastir.pdf","review","local_or_unclassified_source","Мелник","Благоевград","False","True","True"
"Екопътека ""Пътеката на дивата коза""","Ekopteka-Ptekata-na-divata-koza.pdf","review","local_or_unclassified_source","Баня, Добърско","Благоевград","False","True","True"
"Екопътека ""Тай3ните на водата"" и водопад ""Срамежливеца""","Ekopteka-Tainite-na-vodata.pdf","review","local_or_unclassified_source","Коларово","Благоевград","False","True","True"
"Еменски каньон","Emenski-kanon.pdf","review","local_or_unclassified_source","Емен","Велико Търново","False","True","True"
"Местност Бялата чешма – Самуилово","Mestnost-Bialata-cheshma-Samuilovo.pdf","review","local_or_unclassified_source","Самуилово","Беласица","False","True","True"
"Местност за пикник Орешак","Miasto-za-piknik-Oreshak.pdf","review","local_or_unclassified_source","Орешак","Балчик","False","True","True"
"Скално образование ""Камината"" – Бов","Skalno-obrazovanie-Kaminata-Bov.pdf","review","local_or_unclassified_source","Бов","Бов","False","True","True"
"Хайдушки водопади (екопътека)","Khaidushki-vodopadi-2.pdf","review","local_or_unclassified_source","Берковица","Берковица","False","True","True"
"Христовски водопад ""Руховци"" (екопътека)","Khristovski-vodopad-Rukhovtsi.pdf","review","local_or_unclassified_source","Христовци","Велико Търново","False","True","True"
"E3 Етап 10: Шипка - Емине връх","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Большое Търново","Большое Търново","True","False","True"
"E4 Етап 10: Вихрен - Банско","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Благоевград","Благоевград","True","False","True"
"E4 Етап 11: Банско - Славянка планина","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Благоевград","Благоевград","True","False","True"
"E4 Етап 12: Славянка връх - Мелник","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Благоевград","Благоевград","True","False","True"
"E4 Етап 8: Мусала - Пирин национален парк","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Благоевград","Благоевград","True","False","True"
"E4 Етап 9: Пирин - връх Вихрен","European Long Distance Paths (E-paths)","review","local_or_unclassified_source","Благоевград","Благоевград","True","False","True"
"Долина на река Благоевградска Бистрица","Екопътека.md файл","review","local_or_unclassified_source","","Благоевград","True","True","True"
